date,open,high,low,close,volume
2021-03-11,2058.2200,2111.2700,2056.4500,2100.5400,1385130
2021-03-10,2061.4000,2061.4000,2019.3300,2036.1900,1355004
2021-03-09,2049.7500,2063.9153,2035.6000,2040.3600,1696031
2021-03-08,2084.0600,2113.7400,2005.1900,2007.5000,1843371
2021-03-05,2061.1500,2106.2000,2027.7773,2097.0700,2654977
2021-03-04,2014.8690,2074.5900,2005.4300,2033.9300,2460786
2021-03-03,2051.9500,2075.9900,1994.0000,2011.4100,1694645
2021-03-02,2064.8400,2094.7400,2056.6700,2064.4800,1278184
2021-03-01,2048.0000,2076.2300,2034.4200,2069.6600,1303089
2021-02-26,2029.9500,2056.5200,2001.0100,2021.9100,1978740
2021-02-25,2055.9300,2083.0000,2006.4900,2015.9500,2047513
2021-02-24,2030.0400,2088.3200,2027.5300,2083.8100,1130437
2021-02-23,2013.9900,2072.5000,1990.2300,2060.1200,1732899
2021-02-22,2053.6000,2080.3300,2048.0000,2054.2600,1458920
2021-02-19,2107.7900,2118.5800,2083.4300,2088.8100,1896939
2021-02-18,2105.0000,2121.9900,2093.3300,2105.8100,1128549
2021-02-17,2093.9800,2122.4434,2088.3500,2118.6200,986524
2021-02-16,2091.7500,2145.1400,2091.7500,2110.7000,1550195
2021-02-12,2079.7700,2099.5000,2073.5700,2095.0300,949525
2021-02-11,2091.0000,2094.0000,2068.8600,2088.7500,1024029
2021-02-10,2083.1400,2098.8800,2052.2400,2086.4800,1252689
2021-02-09,2074.8000,2098.5100,2070.0000,2075.3900,1093053
2021-02-08,2100.0000,2115.0000,2063.3500,2084.5200,1441443
2021-02-05,2059.5600,2095.9400,2050.0000,2088.8300,1493256
2021-02-04,2060.6156,2069.3000,2035.1000,2053.6300,2429780
